"","month","year","total_volume","min_flow","max_flow","mean_flow","median_flow"
"1",10,1927,104457600,3369600,3369600,3369600,3369600
"2",11,1927,38880000,1296000,1296000,1296000,1296000
"3",12,1927,431395200,1555200,55382400,13915974.1935484,5961600
"4",1,1928,163900800,2505600,19094400,5287122.58064516,4060800
"5",2,1928,255571200,3888000,48556800,8812800,5788800
"6",3,1928,219196800,2592000,48643200,7070864.51612903,4924800
"7",4,1928,451785600,2505600,131328000,15059520,6652800
"8",5,1928,137548800,2592000,11232000,4437058.06451613,3801600
"9",6,1928,159926400,1209600,44668800,5330880,2376000
"10",7,1928,44582400,665280,5961600,1438141.93548387,1036800
"11",8,1928,213408000,406080,66009600,6884129.03225806,2332800
"12",9,1928,756604800,2592000,216864000,25220160,5702400
"13",10,1928,84844800,1900800,4320000,2736929.03225806,2592000
"14",11,1928,59097600,1555200,2851200,1969920,1900800
"15",12,1928,64108800,1468800,3196800,2068025.80645161,1987200
"16",1,1929,66960000,2160000,2160000,2160000,2160000
"17",2,1929,256435200,9158400,9158400,9158400,9158400
"18",3,1929,723168000,23328000,23328000,23328000,23328000
"19",4,1929,176256000,5875200,5875200,5875200,5875200
"20",5,1929,195523200,6307200,6307200,6307200,6307200
"21",6,1929,246240000,8208000,8208000,8208000,8208000
"22",7,1929,192844800,1814400,44582400,6220800,4060800
"23",8,1929,133401600,1296000,44668800,4303277.41935484,2160000
"24",9,1929,43113600,1036800,2419200,1437120,1382400
"25",10,1929,4.86e+08,2073600,299808000,15677419.3548387,3024000
"26",11,1929,202780800,2419200,24278400,6759360,5486400
"27",12,1929,184809600,3628800,27129600,5961600,4665600
"28",1,1930,222307200,7171200,7171200,7171200,7171200
"29",2,1930,222566400,7948800,7948800,7948800,7948800
"30",3,1930,115171200,3715200,3715200,3715200,3715200
"31",4,1930,104630400,2160000,8899200,3487680,2894400
"32",5,1930,74563200,1296000,10454400,2405264.51612903,1900800
"33",6,1930,52574400,933120,15292800,1752480,1188000
