"","month","year","total_volume","min_flow","max_flow","mean_flow","median_flow"
"1",1,1971,1934064000,17539200,328320000,62389161.2903226,44150400
"2",1,1972,1562803200,22809600,164160000,50413006.4516129,38102400
"3",1,1973,3739046400,66096000,288576000,120614400,104544000
"4",1,1974,4662748800,28684800,354240000,150411251.612903,151200000
"5",1,1975,8247484800,40953600,745632000,266047896.774194,208224000
"6",1,1976,3542572800,29289600,397440000,114276541.935484,55900800
"7",1,1977,2066947200,12700800,327456000,66675716.1290323,28080000
"8",1,1978,9703584000,23846400,658368000,313018838.709677,360288000
"9",1,1979,6145545600,23328000,650592000,198243406.451613,1.08e+08
"10",1,1980,3276633600,18489600,345600000,105697858.064516,63763200
"11",1,1981,208915200,3715200,13564800,6739200,6134400
"12",1,1982,5723136000,21600000,400032000,184617290.322581,172800000
"13",1,1983,1782172800,9504000,163296000,57489445.1612903,39484800
"14",1,1984,5394902400,43372800,334368000,174029109.677419,139968000
"15",1,1985,1480809600,6307200,203040000,47768051.6129032,31190400
"16",1,1986,562377600,12787200,54259200,18141212.9032258,15120000
"17",1,1987,3430598400,6739200,368064000,110664464.516129,29116800
"18",1,1988,591580800,6134400,149472000,19083251.6129032,6307200
"19",1,1989,631324800,9504000,66441600,20365316.1290323,14774400
"20",1,1990,3257280000,13996800,209088000,105073548.387097,86400000
"21",1,1991,5119804800,26179200,319680000,165154993.548387,158976000
"22",1,1992,1232582400,5529600,236736000,39760722.5806452,15206400
"23",1,1993,4741113600,24451200,219456000,152939148.387097,177120000
"24",1,1994,274233600,6912000,60307200,8846245.16129032,7257600
"25",1,1995,912211200,4752000,114912000,29426167.7419355,7344000
"26",1,1996,4271443200,23414400,303264000,137788490.322581,142560000
"27",1,1997,2764368000,28684800,233280000,89173161.2903226,72576000
"28",1,1998,2908137600,11404800,341280000,93810890.3225807,30499200
"29",1,1999,2334700800,5702400,282528000,75312929.0322581,14688000
"30",1,2000,1574812800,14774400,169344000,50800412.9032258,18057600
"31",1,2001,367804800,11664000,12009600,11864670.9677419,11836800
"32",1,2002,177534720,5616000,5875200,5726926.4516129,5685120
"33",1,2003,1175644800,16243200,119232000,37924025.8064516,16329600
"34",1,2004,726883200,21340800,33696000,23447845.1612903,21427200
"35",1,2005,2087856000,14342400,211680000,67350193.5483871,18748800
"36",1,2006,165862080,4691520,5460480,5350389.67741936,5400000
"37",1,2007,3590092800,27820800,254880000,115809445.16129,97632000
"38",1,2008,151243200,4803840,4933440,4878812.90322581,4890240
"39",1,2009,1778716800,9676800,216864000,57377961.2903226,23241600
"40",1,2010,2903644800,12787200,262656000,93665961.2903226,54777600
"41",1,2011,174571200,5581440,5685120,5631329.03225806,5624640
"42",1,2012,180100800,5771520,5840640,5809703.22580645,5806080
"43",1,2013,1954212480,5832000,259200000,63039112.2580645,6376320
"44",1,2014,3848256000,12009600,274752000,124137290.322581,134784000
"45",1,2015,3461270400,14515200,265248000,111653883.870968,128736000
"46",1,2016,8678448000,42768000,515808000,279949935.483871,287712000
"47",1,2017,1611619200,8899200,126144000,51987716.1290323,41040000
"48",1,2018,182926080,5823360,5996160,5900841.29032258,5909760
"49",1,2019,5862931200,29894400,348192000,189126812.903226,206496000
"50",1,2020,2447314560,6238080,287712000,78945630.9677419,68342400
"51",1,2021,6042816000,68169600,328320000,194929548.387097,177984000
"52",1,2022,815175360,5849280,137376000,26295979.3548387,6108480
"53",2,1971,4412102400,29548800,457920000,157575085.714286,89424000
"54",2,1972,5095699200,25747200,454464000,175713765.517241,115776000
"55",2,1973,6541776000,33696000,889920000,233634857.142857,93744000
"56",2,1974,3635020800,52963200,266976000,129822171.428571,117072000
"57",2,1975,4094582400,66355200,428544000,146235085.714286,104544000
