"","month","year","total_volume","min_flow","max_flow","mean_flow","median_flow"
"1",1,1926,425433600,950400,158976000,13723664.516129,3196800
"2",2,1926,870220800,4838400,115776000,31079314.2857143,15724800
"3",3,1926,377827200,5097600,43545600,12187974.1935484,9072000
"4",4,1926,329356800,3628800,101952000,10978560,5659200
"5",5,1926,70070400,950400,5529600,2260335.48387097,2246400
"6",6,1926,41973120,552960,8640000,1399104,1036800
"7",7,1926,117443520,691200,43200000,3788500.64516129,1382400
"8",8,1926,103334400,570240,24624000,3333367.74193548,1036800
"9",9,1926,118903680,328320,54691200,3963456,712800
"10",10,1926,7508160,172800,561600,242198.709677419,207360
"11",11,1926,13642560,164160,1468800,454752,267840
"12",12,1926,470975040,406080,194400000,15192743.2258065,1468800
"13",1,1927,165024000,2678400,23155200,5323354.83870968,4320000
"14",2,1927,471225600,2764800,83289600,16829485.7142857,9417600
"15",3,1927,571276800,3974400,100224000,18428283.8709677,8726400
"16",4,1927,243043200,3801600,26784000,8101440,5961600
"17",5,1927,59425920,846720,5184000,1916965.16129032,1555200
"18",6,1927,76800960,535680,8467200,2560032,1814400
"19",7,1927,266518080,578880,58579200,8597357.41935484,3283200
"20",8,1927,199324800,1036800,26956800,6429832.25806452,3628800
"21",9,1927,187920000,864000,105408000,6264000,2332800
"22",10,1927,166104000,829440,38016000,5358193.5483871,2246400
"23",11,1927,135388800,1209600,56678400,4512960,1857600
"24",12,1927,1029456000,2160000,153792000,33208258.0645161,13305600
"25",1,1928,211420800,3628800,30844800,6820025.80645161,5097600
"26",2,1928,540432000,6912000,98496000,18635586.2068966,13651200
"27",3,1928,565833600,4838400,165888000,18252696.7741935,11059200
"28",4,1928,1164931200,4665600,395712000,38831040,14515200
"29",5,1928,335145600,4320000,52099200,10811148.3870968,7776000
"30",6,1928,224899200,2073600,88128000,7496640,3801600
"31",7,1928,55010880,535680,3888000,1774544.51612903,1468800
"32",8,1928,233314560,518400,77500800,7526276.12903226,1728000
"33",9,1928,988329600,1468800,393120000,32944320,7689600
"34",10,1928,109123200,1987200,11232000,3520103.22580645,2851200
"35",11,1928,62985600,1555200,2764800,2099520,2116800
"36",12,1928,61084800,1641600,2678400,1970477.41935484,1900800
"37",1,1929,69120000,1641600,3801600,2229677.41935484,1987200
"38",2,1929,899942400,1468800,443232000,32140800,7084800
"39",3,1929,1279929600,10022400,404352000,41288051.6129032,20131200
"40",4,1929,681696000,5356800,273024000,22723200,10065600
"41",5,1929,302400000,3715200,27993600,9754838.70967742,7948800
"42",6,1929,289699200,2505600,53740800,9656640,4665600
"43",7,1929,383356800,1814400,112320000,12366348.3870968,4147200
"44",8,1929,421718400,1555200,141696000,13603819.3548387,6480000
"45",9,1929,106444800,2073600,9158400,3548160,3110400
"46",10,1929,1355356800,3456000,855360000,43721187.0967742,5097600
"47",11,1929,440208000,4060800,58752000,14673600,10065600
"48",12,1929,396316800,6048000,81734400,12784412.9032258,9849600
"49",1,1930,476582400,4665600,56332800,15373625.8064516,11232000
"50",2,1930,588988800,6220800,1.08e+08,21035314.2857143,11923200
"51",3,1930,223344000,4752000,19353600,7204645.16129032,5875200
"52",4,1930,223603200,3196800,34128000,7453440,5227200
"53",5,1930,272678400,2246400,93312000,8796077.41935484,3456000
"54",6,1930,106980480,1581120,24364800,3566016,2332800
"55",7,1930,413354880,691200,241056000,13334028.3870968,2419200
"56",8,1930,42379200,492480,8121600,1367070.96774194,820800
"57",9,1930,26619840,371520,5356800,887328,527040
"58",10,1930,7223040,129600,397440,233001.290322581,233280
"59",11,1930,18195840,190080,1036800,606528,578880
"60",12,1930,141350400,432000,34041600,4559690.32258064,1728000
"61",1,1931,252460800,3110400,41990400,8143896.77419355,4492800
"62",2,1931,107395200,1987200,7430400,3835542.85714286,3326400
"63",3,1931,326592000,2937600,62985600,10535225.8064516,5443200
"64",4,1931,807753600,5443200,207360000,26925120,11966400
"65",5,1931,875232000,3974400,298080000,28233290.3225806,9504000
"66",6,1931,111957120,1270080,13305600,3731904,2721600
"67",7,1931,115767360,872640,44841600,3734430.96774194,2073600
"68",8,1931,862617600,2246400,214272000,27826374.1935484,10022400
"69",9,1931,52176960,639360,6220800,1739232,1460160
"70",10,1931,29661120,449280,4060800,956810.322580645,743040
"71",11,1931,18947520,259200,2937600,631584,535680
"72",12,1931,89389440,397440,11404800,2883530.32258065,1728000
"73",1,1932,838339200,3110400,253152000,27043200,8294400
"74",2,1932,402451200,5702400,44409600,13877627.5862069,10195200
"75",3,1932,982022400,4665600,350784000,31678141.9354839,10022400
"76",4,1932,317520000,4579200,48038400,10584000,8208000
"77",5,1932,100915200,1728000,6307200,3255329.03225806,3024000
"78",6,1932,103559040,1080000,45705600,3451968,1581120
"79",7,1932,25107840,172800,3283200,809930.322580645,406080
"80",8,1932,14316480,138240,1650240,461821.935483871,380160
"81",9,1932,1952640,34560,146880,65088,56160
"82",10,1932,277058880,86400,116640000,8937383.22580645,1615680
"83",11,1932,530409600,2764800,123552000,17680320,8078400
"84",12,1932,909878400,3369600,127872000,29350916.1290323,15379200
"85",1,1933,560476800,7689600,71539200,18079896.7741935,13132800
"86",2,1933,619401600,7948800,91584000,22121485.7142857,17668800
"87",3,1933,267926400,5011200,25315200,8642787.09677419,7171200
"88",4,1933,632880000,4492800,150336000,21096000,10627200
"89",5,1933,421459200,2592000,148608000,13595458.0645161,6825600
"90",6,1933,123690240,933120,31881600,4123008,2246400
"91",7,1933,35856000,596160,4320000,1156645.16129032,984960
"92",8,1933,62268480,743040,9417600,2008660.64516129,1270080
"93",9,1933,38327040,146880,11836800,1277568,691200
"94",10,1933,3732480,43200,336960,120402.580645161,112320
"95",11,1933,1840320,51840,77760,61344,60480
"96",12,1933,4838400,60480,466560,156077.419354839,112320
"97",1,1934,11482560,267840,604800,370405.161290323,345600
"98",2,1934,193173120,570240,90720000,6899040,889920
"99",3,1934,726451200,3801600,148608000,23433909.6774194,9849600
"100",4,1934,1128816000,4320000,352512000,37627200,12484800
"101",5,1934,451872000,1900800,91584000,14576516.1290323,4147200
"102",6,1934,528249600,3456000,73612800,17608320,9763200
"103",7,1934,241695360,1408320,93312000,7796624.51612903,2592000
"104",8,1934,158509440,864000,45878400,5113207.74193548,2592000
"105",9,1934,1250320320,1477440,427680000,41677344,8380800
"106",10,1934,93268800,1546560,7776000,3008670.96774194,2332800
"107",11,1934,583606080,1615680,354240000,19453536,2160000
"108",12,1934,780537600,5097600,372384000,25178632.2580645,8812800
"109",1,1935,640742400,6480000,114912000,20669109.6774194,12268800
"110",2,1935,414374400,5961600,60048000,14799085.7142857,9676800
"111",3,1935,868320000,7344000,159840000,28010322.5806452,13132800
"112",4,1935,1407456000,9849600,283392000,46915200,20520000
"113",5,1935,276307200,3888000,53395200,8913135.48387097,7171200
"114",6,1935,70234560,898560,4060800,2341152,2203200
"115",7,1935,113918400,1054080,12096000,3674787.09677419,2592000
"116",8,1935,51891840,596160,5616000,1673930.32258065,1235520
"117",9,1935,220294080,596160,121824000,7343136,1775520
"118",10,1935,52462080,475200,17884800,1692325.16129032,872640
"119",11,1935,253756800,1581120,64540800,8458560,3974400
"120",12,1935,278208000,2160000,77155200,8974451.61290323,3801600
"121",1,1936,2038435200,3801600,430272000,65755974.1935484,21168000
"122",2,1936,1232668800,6825600,331776000,42505820.6896552,19008000
"123",3,1936,1287619200,6652800,350784000,41536103.2258065,17193600
"124",4,1936,1585094400,8121600,362880000,52836480,16804800
"125",5,1936,143164800,1900800,7948800,4618219.35483871,4579200
"126",6,1936,150007680,1546560,26956800,5000256,2894400
"127",7,1936,265083840,794880,118368000,8551091.61290323,1728000
